id,name,localized_name,region_code,wca_id,approved,created_at,updated_at
202,Sean Hartman,,US,2016HART02,TRUE,2023-08-11T15:15:58.140Z,2023-08-11T15:15:58.140Z
203,Dominika Warchoł,,PL,2021WARC01,TRUE,2023-08-11T15:16:40.514Z,2023-08-11T15:16:40.514Z
204,Sameer Aggarwal,,US,2017AGGA01,TRUE,2023-08-11T15:17:11.314Z,2023-08-11T15:17:11.314Z
205,Łukasz Dubicki,,PL,2018DUBI01,TRUE,2023-08-11T15:17:47.196Z,2023-08-11T15:17:47.196Z
206,Brian Johnson,,US,2013JOHN10,TRUE,2023-08-11T15:18:25.966Z,2023-08-11T15:18:25.966Z
207,Liam Highducheck,,AU,2015HIGH01,TRUE,2023-08-11T22:36:25.816Z,2023-08-11T22:36:25.816Z
208,Ulrik Bredland,,NO,2012BRED01,TRUE,2023-08-11T22:38:05.748Z,2026-03-05T07:22:37.330Z
209,Harry Owen,,GB,2017OWEN01,TRUE,2023-08-11T22:38:31.109Z,2023-08-11T22:38:31.109Z
210,Kim Roger Haraldsen,,NO,2015LARS04,TRUE,2023-08-11T22:39:07.665Z,2023-08-11T22:39:07.665Z
211,Simon Kellum,,US,2016KELL12,TRUE,2023-08-11T22:40:00.262Z,2023-08-11T22:40:00.262Z
212,Stanley Chapel,,US,2016CHAP04,TRUE,2023-08-12T02:13:04.276Z,2023-08-12T02:13:04.276Z
213,Twan Dullemond,,NL,2018DULL01,TRUE,2023-08-12T02:17:47.508Z,2023-08-12T02:17:47.508Z
214,Dmitry Matthew Yaquinto,,RU,2018YAQU01,TRUE,2023-08-12T02:18:15.200Z,2023-08-12T02:18:15.200Z
215,Andrey Che,,RU,2015CHEA01,TRUE,2023-08-12T02:18:44.364Z,2023-08-12T02:18:44.364Z
216,Marcus Kamen,,US,2015KAME02,TRUE,2023-08-12T02:22:16.727Z,2023-08-12T02:22:16.727Z
217,Theodore Chan,,SG,2016CHAN25,TRUE,2023-08-12T02:26:38.712Z,2023-08-12T02:26:38.712Z
218,Ben Baron,,IL,2016BARO04,TRUE,2023-08-12T02:27:09.535Z,2023-08-12T02:27:09.535Z
219,Viljo Elo,,FI,2016ELOV01,TRUE,2023-08-12T02:27:33.844Z,2023-08-12T02:27:33.844Z
220,Roan Paone,,CA,2017PAON01,TRUE,2023-08-12T02:28:01.609Z,2023-08-12T02:28:01.609Z
